20201118,工业园区,湖西CBD,高楼层采光无遮挡，视野开阔，三房朝南，精装保养好新上,858万,高楼层(共27层)                                                3室2厅 | 155.85平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_2kURVgTCe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,中间位置全天采光户型方正房东诚意出售，看房随时,567万,低楼层(共6层)                                                3室2厅 | 115.6平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_4sLlvU5uM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州凤凰书城楼上，精装修，可拎包入住，生活优选！,430万,中楼层(共36层)                                                1室2厅 | 76.17平米                                  | 西南,https://ke-image.ljcdn.com/320500-inspection/pc1_rpwXVjOFF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,都市东区 品质小区 多层得房率高 诚意出售 看房方便,621万,中楼层(共5层)                                                3室1厅 | 110.03平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_Po93xaDNL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,中间位置  装修保养很好   电梯大三房,660万,中楼层(共13层)                                                3室2厅 | 140.61平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_a8cvnGEsM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,四季新家园  25年可用  60万装修 处理多余资产,816万,高楼层(共27层)                                                3室2厅 | 157平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_nsoNZUfr7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新加精装修三房，中间楼层，拎包入住,470万,中楼层(共5层)                                                3室2厅 | 104.6平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_bl0z1qC2c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,业主自己住的 保养很好 干净清爽 诚心出售,460万,高楼层(共6层)                                                3室2厅 | 106.85平米                                  | 西北,https://ke-image.ljcdn.com/320500-inspection/pc1_MpDWls5pL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,采光耀眼 中间位置 中间楼层 看房方便 楼下不架空,505万,中楼层(共6层)                                                3室1厅 | 99.8平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_X1yOXN7S4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园小区中间位置全新精装修三房,448万,中楼层(共5层)                                                3室2厅 | 108平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_Q1gvlt8kV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,全新交付9号楼，开发商统装，未住过人，朝西可看湖西,452万,中楼层(共62层)                                                1室1厅 | 58.03平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_5htav50mm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,业主诚意出售、户型好、采光无影响、看房方便,598万,低楼层(共11层)                                                3室2厅 | 157.79平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_6QZPGIlDu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州中/心9号楼 中间楼层湖景好，诚意出售,555万,中楼层(共62层)                                                1室1厅 | 86平米                                  | 西北,https://ke-image.ljcdn.com/110000-inspection/pc1_zt8fBDXgC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
