20201118,吴中,南双湖,建发独墅湾,34089元/m2,94套在售二手房
20201118,吴中,南双湖,正荣国领,33851元/m2,75套在售二手房
20201118,吴中,南双湖,阳光城愉景湾,33762元/m2,78套在售二手房
20201118,吴中,南双湖,尹东新村,19783元/m2,14套在售二手房
20201118,吴中,南双湖,尹东八村二区,暂无,0套在售二手房
20201118,吴中,南双湖,尹东五村,暂无,0套在售二手房
20201118,吴中,南双湖,尹东二村,21003元/m2,1套在售二手房
20201118,吴中,南双湖,尹东九村（B区）,暂无,0套在售二手房
20201118,吴中,南双湖,尹东三村,暂无,0套在售二手房
20201118,吴中,南双湖,尹东八村三区,暂无,0套在售二手房
20201118,吴中,南双湖,尹东八村一区,暂无,0套在售二手房
20201118,吴中,南双湖,尹东新村六期,暂无,0套在售二手房
20201118,吴中,南双湖,尹东九村（A区）,暂无,0套在售二手房
20201118,吴中,南双湖,尹东九村C区,暂无,0套在售二手房
