20201118,高新,横塘,整租·水岸秀墅,4室2厅,380平米,5000
20201118,高新,横塘,合租·横塘路88号,4居室,20平米,1000
20201118,高新,横塘,整租·中锐星悦湾名苑,4室2厅,144平米,4800
20201118,高新,横塘,合租·锦悦湾雅园,4居室,19平米,1350
20201118,高新,横塘,整租·仁恒棠悦湾,4室3厅,185平米,8000
20201118,高新,横塘,合租·锦悦湾雅园,4居室,12平米,880
20201118,高新,横塘,整租·学府花苑,5室2厅,180平米,4850
20201118,高新,横塘,整租·山水映象,4室2厅,150平米,4750
20201118,高新,横塘,整租·美田山水之恋,3室2厅,150平米,4500
20201118,高新,横塘,整租·美田山水之恋,5室2厅,143平米,5000
20201118,高新,横塘,整租·星韵花园二期,2室1厅,70平米,2450
20201118,高新,横塘,合租·星韵花园三期,4居室,26平米,1500
20201118,高新,横塘,整租·星韵花园二期,1室1厅,55平米,2450
20201118,高新,横塘,合租·星韵花园三期,4居室,19平米,1100
20201118,高新,横塘,整租·横塘路88号,3室1厅,91平米,3200
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3200
20201118,高新,横塘,整租·横塘路88号,3室1厅,82平米,3000
20201118,高新,横塘,整租·横塘路88号,3室2厅,90平米,3000
20201118,高新,横塘,整租·横塘路88号,3室2厅,90平米,3200
20201118,高新,横塘,整租·新创宝带熙岸,3室2厅,92平米,3900
20201118,高新,横塘,整租·锦悦湾雅园,4室2厅,140平米,4800
20201118,高新,横塘,合租·晋源水岸花苑,4居室,20平米,1300
20201118,高新,横塘,整租·横塘路88号,3室1厅,120平米,3500
20201118,高新,横塘,合租·晋源水岸花苑,4居室,20平米,1000
20201118,高新,横塘,整租·横塘路88号,3室2厅,90平米,3000
20201118,高新,横塘,合租·晋源水岸花苑,4居室,16平米,800
20201118,高新,横塘,整租·锦悦湾雅园,4室2厅,143平米,6000
20201118,高新,横塘,合租·晋源水岸花苑,4居室,18平米,950
20201118,高新,横塘,合租·横塘路88号,4居室,14平米,750
20201118,高新,横塘,合租·晋源水岸花苑,4居室,18平米,900
20201118,高新,横塘,整租·中锐星悦湾名苑,1室1厅,43平米,1900
20201118,高新,横塘,整租·锦悦湾雅园,4室2厅,140平米,4800
20201118,高新,横塘,整租·仁恒棠悦湾,3室1厅,142平米,6500
20201118,高新,横塘,整租·锦悦湾雅园,4室2厅,143平米,7000
20201118,高新,横塘,整租·横塘路88号,3室1厅,83平米,2600
20201118,高新,横塘,合租·学府花苑,3居室,16平米,1250
20201118,高新,横塘,整租·横塘路88号,2室1厅,65平米,2450
20201118,高新,横塘,整租·山水映象,2室2厅,78平米,2800
20201118,高新,横塘,整租·横塘路88号,3室1厅,86平米,3100
20201118,高新,横塘,整租·横塘路88号,3室2厅,105平米,3200
20201118,高新,横塘,整租·晋源水岸花苑,2室2厅,68平米,1800
20201118,高新,横塘,整租·石湖山水居,2室1厅,65平米,1850
20201118,高新,横塘,整租·横塘路88号,3室2厅,91平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,90平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3800
20201118,高新,横塘,整租·横塘路88号,3室2厅,95平米,2850
20201118,高新,横塘,整租·晋源水岸花苑,2室1厅,78平米,2800
