20201118,姑苏,虎丘,整租·现代美墅,6室2厅,234平米,11000
20201118,姑苏,虎丘,整租·虎阜花园西区,1室1厅,40平米,1580
20201118,姑苏,虎丘,整租·虎阜花园西区,4室1厅,71平米,2500
20201118,姑苏,虎丘,整租·虎阜花园西区,2室1厅,66平米,2500
20201118,姑苏,虎丘,整租·虎阜花园东区,5室2厅,136平米,2600
20201118,姑苏,虎丘,整租·虎阜花园西区,3室2厅,105平米,3100
20201118,姑苏,虎丘,整租·观景二村,2室1厅,67平米,2000
20201118,姑苏,虎丘,整租·虎阜花园东区,2室1厅,47平米,1600
20201118,姑苏,虎丘,整租·虎阜花园西区,2室1厅,66平米,2400
20201118,姑苏,虎丘,整租·观景二村,4室2厅,92平米,2800
20201118,姑苏,虎丘,整租·虎阜花园东区,4室2厅,66平米,2000
20201118,姑苏,虎丘,整租·虎阜花园西区,3室2厅,115平米,3300
20201118,姑苏,虎丘,整租·虎阜花园西区,3室2厅,99平米,3400
20201118,姑苏,虎丘,整租·虎阜花园东区,2室1厅,66平米,2300
20201118,姑苏,虎丘,整租·虎阜花园西区,2室1厅,66平米,2400
