20201118,吴中,郭巷,合租·双银国际金融城,2居室,63平米,1600
20201118,吴中,郭巷,合租·塘南新村南区,4居室,20平米,900
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,2500
20201118,吴中,郭巷,合租·塘南新村北区,3居室,15平米,800
20201118,吴中,郭巷,整租·中海独墅岛,2室2厅,94平米,2300
20201118,吴中,郭巷,合租·塘南新村北区,4居室,30平米,1150
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,128平米,2600
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,172平米,2800
20201118,吴中,郭巷,整租·湖滨花园(吴中区),3室2厅,132平米,3000
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,90平米,3000
20201118,吴中,郭巷,整租·湖滨花园(吴中区),2室2厅,110平米,3100
20201118,吴中,郭巷,合租·华润金悦湾,5居室,9平米,800
20201118,吴中,郭巷,整租·保利独墅西岸,5室2厅,172平米,3000
20201118,吴中,郭巷,合租·湖岸名家北区,5居室,20平米,800
20201118,吴中,郭巷,整租·保利独墅西岸,3室1厅,106平米,2800
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,135平米,3000
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,138平米,2800
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,88平米,3500
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,113平米,3300
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,179平米,3600
20201118,吴中,郭巷,整租·湖岸名家北区,3室2厅,130平米,3800
20201118,吴中,郭巷,合租·保利独墅西岸,4居室,22平米,950
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,136平米,6000
20201118,吴中,郭巷,合租·保利独墅西岸,5居室,10平米,890
20201118,吴中,郭巷,整租·双银国际金融城,9室1厅,370平米,22200
20201118,吴中,郭巷,合租·中海独墅岛,4居室,10平米,890
20201118,吴中,郭巷,整租·中海独墅岛,6室2厅,340平米,5000
20201118,吴中,郭巷,合租·中海独墅岛,5居室,14平米,1240
